month,xlpe_forecast,xlpe_lower,xlpe_upper,pvc_forecast,pvc_lower,pvc_upper,lsf_forecast,lsf_lower,lsf_upper
1,1582.2254348317458,1507.835382700145,1656.6154869633467,1979.0171674435273,1945.2196502009178,2012.8146846861368,311.4724676411832,293.82398850460487,329.1209467777615
2,1566.1199739874141,1491.7299218558132,1640.510026119015,1979.0171674435273,1945.2196502009178,2012.8146846861368,309.00018036291675,291.35170122633843,326.64865949949507
3,1650.098705506253,1575.7086533746522,1724.488757637854,1984.4798570388718,1950.6823397962623,2018.2773742814813,309.1427346355798,291.4942554990015,326.79121377215813
4,1654.3145303138201,1579.9244781822192,1728.704582445421,1984.4798570388718,1950.6823397962623,2018.2773742814813,298.3150652661548,280.6665861295765,315.96354440273313
5,1666.8152263985937,1592.4251742669928,1741.2052785301946,1983.942529968338,1950.1450127257285,2017.7400472109475,299.6094260679071,281.9609469313288,317.25790520448544
6,1702.6433846737834,1628.2533325421825,1777.0334368053843,1983.942529968338,1950.1450127257285,2017.7400472109475,300.73783855796677,283.08935942138845,318.3863176945451
7,1716.4785557732478,1642.0885036416469,1790.8686079048487,1983.942529968338,1950.1450127257285,2017.7400472109475,296.5234109293387,278.8749317927604,314.171890065917
8,1708.0929103494436,1633.7028582178427,1782.4829624810445,1976.0722293953013,1942.2747121526918,2009.8697466379108,296.5234109293387,278.8749317927604,314.171890065917
9,1703.9778596884742,1629.5878075568733,1778.367911820075,1976.0722293953013,1942.2747121526918,2009.8697466379108,296.5234109293387,278.8749317927604,314.171890065917
10,1559.8922793629577,1485.5022272313568,1634.2823314945585,1976.0722293953013,1942.2747121526918,2009.8697466379108,296.40466845707135,278.75618932049304,314.05314759364967
11,1553.6375519076673,1479.2474997760664,1628.0276040392682,1976.0722293953013,1942.2747121526918,2009.8697466379108,297.6059889726151,279.95750983603676,315.2544681091934
12,1536.1357707894704,1461.7457186578695,1610.5258229210713,1979.0171674435273,1945.2196502009178,2012.8146846861368,297.463434699952,279.8149555633737,315.11191383653033
